mondo_id,mapping_type,doid_id,mapping_justification,mondo_label,doid_label
MONDO:0002187,skos:exactMatch,DOID:2059,semapv:UnspecifiedMatching,vulvar disease,vulvar disease
MONDO:0002188,skos:exactMatch,DOID:2060,semapv:UnspecifiedMatching,vulvar nodular hidradenoma,vulvar nodular hidradenoma
MONDO:0002189,skos:exactMatch,DOID:2061,semapv:UnspecifiedMatching,nodular hidradenoma,nodular hidradenoma
MONDO:0002190,skos:exactMatch,DOID:2064,semapv:UnspecifiedMatching,vulvar syringoma,vulvar syringoma
MONDO:0002191,skos:exactMatch,DOID:2065,semapv:UnspecifiedMatching,syringoma,syringoma
MONDO:0002192,skos:exactMatch,DOID:2066,semapv:UnspecifiedMatching,vulvar angiokeratoma,vulvar angiokeratoma
MONDO:0002193,skos:exactMatch,DOID:2068,semapv:UnspecifiedMatching,Bartholin gland benign neoplasm,Bartholin's gland benign neoplasm
MONDO:0002194,skos:exactMatch,DOID:2071,semapv:UnspecifiedMatching,vestibular papilloma,vulvar squamous papilloma
MONDO:0002195,skos:exactMatch,DOID:2072,semapv:UnspecifiedMatching,vulvar squamous neoplasm,vulvar squamous tumor
MONDO:0002196,skos:exactMatch,DOID:2073,semapv:UnspecifiedMatching,perinatal intestinal perforation,perinatal intestinal perforation
MONDO:0002197,skos:exactMatch,DOID:2075,semapv:UnspecifiedMatching,minor vestibular glands adenoma,minor vestibular glands adenoma
MONDO:0002198,skos:exactMatch,DOID:2076,semapv:UnspecifiedMatching,vulvar glandular neoplasm,vulvar glandular tumor
MONDO:0002199,skos:exactMatch,DOID:2078,semapv:UnspecifiedMatching,benign mixed tumor of the vulva,chondroid syringoma of the vulva
MONDO:0002200,skos:exactMatch,DOID:2079,semapv:UnspecifiedMatching,eccrine mixed tumor of skin,eccrine mixed tumor of skin
MONDO:0002201,skos:exactMatch,DOID:2080,semapv:UnspecifiedMatching,vulvar trichoepithelioma,vulvar trichoepithelioma
MONDO:0002204,skos:exactMatch,DOID:2092,semapv:UnspecifiedMatching,transient arthritis,transient arthritis
MONDO:0002205,skos:exactMatch,DOID:2093,semapv:UnspecifiedMatching,vulvar melanoma,vulvar melanoma
MONDO:0002206,skos:exactMatch,DOID:2095,semapv:UnspecifiedMatching,sweat gland cancer,sweat gland cancer
MONDO:0002207,skos:exactMatch,DOID:2097,semapv:UnspecifiedMatching,vulval Paget disease,vulval Paget's disease
MONDO:0002209,skos:exactMatch,DOID:210,semapv:UnspecifiedMatching,heel spur,heel spur
MONDO:0002211,skos:exactMatch,DOID:2115,semapv:UnspecifiedMatching,B cell deficiency,B cell deficiency
MONDO:0002212,skos:exactMatch,DOID:2122,semapv:UnspecifiedMatching,pneumonic tularemia,pneumonic tularemia
MONDO:0002214,skos:exactMatch,DOID:2127,semapv:UnspecifiedMatching,brain germinoma,brain germinoma
MONDO:0002216,skos:exactMatch,DOID:2132,semapv:UnspecifiedMatching,brain sarcoma,brain sarcoma
MONDO:0002217,skos:exactMatch,DOID:2133,semapv:UnspecifiedMatching,central nervous system sarcoma,central nervous system sarcoma
MONDO:0002218,skos:exactMatch,DOID:2135,semapv:UnspecifiedMatching,temporal lobe cancer,temporal lobe neoplasm
MONDO:0002219,skos:exactMatch,DOID:2139,semapv:UnspecifiedMatching,paraurethral gland neoplasm,paraurethral gland neoplasm
MONDO:0002220,skos:exactMatch,DOID:214,semapv:UnspecifiedMatching,tooth hard tissue disease,teeth hard tissue disease
MONDO:0002221,skos:exactMatch,DOID:2140,semapv:UnspecifiedMatching,urethral urothelial papilloma,urethral urothelial papilloma
MONDO:0002222,skos:exactMatch,DOID:2142,semapv:UnspecifiedMatching,urethra leiomyoma,urethra leiomyoma
MONDO:0002223,skos:exactMatch,DOID:2143,semapv:UnspecifiedMatching,ovarian malignant mesothelioma,ovarian malignant mesothelioma
MONDO:0002224,skos:exactMatch,DOID:2145,semapv:UnspecifiedMatching,malignant ovarian cyst,malignant ovarian cyst
MONDO:0002225,skos:exactMatch,DOID:2146,semapv:UnspecifiedMatching,ovarian sarcoma,ovary sarcoma
MONDO:0002226,skos:exactMatch,DOID:2148,semapv:UnspecifiedMatching,tuberculous oophoritis,tuberculous oophoritis
MONDO:0002227,skos:exactMatch,DOID:2150,semapv:UnspecifiedMatching,ovarian lymphoma,ovarian lymphoma
MONDO:0002229,skos:exactMatch,DOID:2152,semapv:UnspecifiedMatching,ovarian epithelial tumor,ovary epithelial cancer
MONDO:0002230,skos:exactMatch,DOID:2153,semapv:UnspecifiedMatching,ovarian Wilms tumor,ovarian Wilms' cancer
MONDO:0002232,skos:exactMatch,DOID:2163,semapv:UnspecifiedMatching,nasal cavity disorder,nasal cavity disease
MONDO:0002233,skos:exactMatch,DOID:217,semapv:UnspecifiedMatching,enamel caries,enamel caries
MONDO:0002234,skos:exactMatch,DOID:2170,semapv:UnspecifiedMatching,vaginitis,vaginitis
MONDO:0002235,skos:exactMatch,DOID:2173,semapv:UnspecifiedMatching,eyelid neoplasm,eyelid benign neoplasm
MONDO:0002236,skos:exactMatch,DOID:2174,semapv:UnspecifiedMatching,ocular cancer,ocular cancer
MONDO:0002237,skos:exactMatch,DOID:2176,semapv:UnspecifiedMatching,carbuncle,carbuncle
MONDO:0002238,skos:exactMatch,DOID:218,semapv:UnspecifiedMatching,ascending colon cancer,ascending colon cancer
MONDO:0002239,skos:exactMatch,DOID:2181,semapv:UnspecifiedMatching,post-surgical hypoinsulinemia,post-surgical hypoinsulinemia
MONDO:0002240,skos:exactMatch,DOID:221,semapv:UnspecifiedMatching,acute perichondritis of pinna,acute perichondritis of pinna
MONDO:0002243,skos:exactMatch,DOID:2213,semapv:UnspecifiedMatching,hemorrhagic disease,hemorrhagic disease
MONDO:0002246,skos:exactMatch,DOID:222,semapv:UnspecifiedMatching,perichondritis of auricle,perichondritis of auricle
